time	V(receiver)
5.273437499506549e-006	6.074135e-001
5.283203124506548e-006	6.760553e-001
5.302734374506547e-006	8.053626e-001
5.322265624506547e-006	9.223472e-001
5.341796874506546e-006	1.025164e+000
5.361328124506545e-006	1.112213e+000
5.380859374506544e-006	1.182171e+000
5.400390624506543e-006	1.234017e+000
5.419921874506543e-006	1.267034e+000
5.439453124506542e-006	1.280817e+000
5.458984374506541e-006	1.275253e+000
5.478515624506540e-006	1.250511e+000
5.498046874506539e-006	1.207023e+000
5.517578124506539e-006	1.145468e+000
5.537109374506538e-006	1.066758e+000
5.556640624506537e-006	9.720289e-001
5.576171874506536e-006	8.626339e-001
5.595703124506535e-006	7.401370e-001
5.605468749506535e-006	6.745200e-001
5.615234374506535e-006	6.063055e-001
5.624999999506534e-006	5.357441e-001
5.634765624506534e-006	4.630971e-001
5.644531249506533e-006	3.886356e-001
5.654296874506533e-006	3.126402e-001
5.664062499506533e-006	2.353988e-001
5.673828124506532e-006	1.572064e-001
5.693359374506531e-006	-8.258654e-004
5.712890624506531e-006	-1.590157e-001
5.732421874506530e-006	-3.149079e-001
5.751953124506529e-006	-4.660844e-001
5.771484374506528e-006	-6.102131e-001
5.781249999506528e-006	-6.789405e-001
5.791015624506527e-006	-7.450932e-001
5.800781249506527e-006	-8.084226e-001
5.810546874506527e-006	-8.686929e-001
5.830078124506526e-006	-9.791796e-001
5.849609374506525e-006	-1.074941e+000
5.869140624506524e-006	-1.154600e+000
5.888671874506524e-006	-1.217021e+000
5.908203124506523e-006	-1.261317e+000
5.927734374506522e-006	-1.286855e+000
5.947265624506521e-006	-1.293255e+000
5.966796874506520e-006	-1.280400e+000
5.986328124506520e-006	-1.248439e+000
6.005859374506519e-006	-1.197795e+000
6.025390624506518e-006	-1.129170e+000
6.044921874506517e-006	-1.043543e+000
6.064453124506516e-006	-9.421641e-001
6.083984374506516e-006	-8.265463e-001
6.103515624506515e-006	-6.984388e-001
6.123046874506514e-006	-5.598004e-001
6.142578124506513e-006	-4.127626e-001
6.162109374506512e-006	-2.595884e-001
6.181640624506512e-006	-1.026284e-001
6.201171874506511e-006	5.572338e-002
6.210937499506510e-006	1.346715e-001
6.220703124506510e-006	2.130712e-001
