rload	V(out)	I(R433)
6.025595860743743e-023	3.548370e-022	5.888829e+000
6.309573444802106e-023	3.715600e-022	5.888829e+000
6.606934480076142e-023	3.890711e-022	5.888829e+000
6.918309709189556e-023	4.074074e-022	5.888829e+000
7.244359600750101e-023	4.266080e-022	5.888829e+000
7.585775750292048e-023	4.467134e-022	5.888829e+000
7.943282347243036e-023	4.677663e-022	5.888829e+000
8.317637711026941e-023	4.898114e-022	5.888829e+000
8.709635899561049e-023	5.128956e-022	5.888829e+000
9.120108393559352e-023	5.370676e-022	5.888829e+000
9.549925860214626e-023	5.623788e-022	5.888829e+000
1.000000000000028e-022	5.888829e-022	5.888829e+000
1.047128548050929e-022	6.166361e-022	5.888829e+000
1.096478196143216e-022	6.456973e-022	5.888829e+000
1.148153621496915e-022	6.761280e-022	5.888829e+000
1.202264434617447e-022	7.079929e-022	5.888829e+000
1.258925411794203e-022	7.413596e-022	5.888829e+000
1.318256738556445e-022	7.762989e-022	5.888829e+000
1.380384264602924e-022	8.128847e-022	5.888829e+000
1.445439770745969e-022	8.511947e-022	5.888829e+000
1.513561248436252e-022	8.913103e-022	5.888829e+000
1.584893192461159e-022	9.333165e-022	5.888829e+000
1.659586907437609e-022	9.773024e-022	5.888829e+000
1.737800828749426e-022	1.023361e-021	5.888829e+000
1.819700858610036e-022	1.071591e-021	5.888829e+000
1.905460717963303e-022	1.122093e-021	5.888829e+000
1.995262314968938e-022	1.174976e-021	5.888829e+000
2.089296130854101e-022	1.230351e-021	5.888829e+000
2.187761623949617e-022	1.288335e-021	5.888829e+000
2.290867652767841e-022	1.349053e-021	5.888829e+000
2.398832919019561e-022	1.412632e-021	5.888829e+000
2.511886431509654e-022	1.479207e-021	5.888829e+000
2.630267991895459e-022	1.548920e-021	5.888829e+000
2.754228703338248e-022	1.621918e-021	5.888829e+000
2.884031503126692e-022	1.698357e-021	5.888829e+000
3.019951720402106e-022	1.778398e-021	5.888829e+000
3.162277660168474e-022	1.862211e-021	5.888829e+000
3.311311214826010e-022	1.949974e-021	5.888829e+000
3.467368504525420e-022	2.041874e-021	5.888829e+000
3.630780547701123e-022	2.138105e-021	5.888829e+000
3.801893963205727e-022	2.238870e-021	5.888829e+000
3.981071705535093e-022	2.344385e-021	5.888829e+000
4.168693834703480e-022	2.454873e-021	5.888829e+000
4.365158322401792e-022	2.570567e-021	5.888829e+000
4.570881896148889e-022	2.691714e-021	5.888829e+000
4.786300923226529e-022	2.818571e-021	5.888829e+000
5.011872336272875e-022	2.951406e-021	5.888829e+000
5.248074602497886e-022	3.090501e-021	5.888829e+000
5.495408738576413e-022	3.236152e-021	5.888829e+000
5.754399373371746e-022	3.388667e-021	5.888829e+000
6.025595860743762e-022	3.548370e-021	5.888829e+000
6.309573444802127e-022	3.715600e-021	5.888829e+000
6.606934480076164e-022	3.890711e-021	5.888829e+000
6.918309709189579e-022	4.074074e-021	5.888829e+000
7.244359600750125e-022	4.266079e-021	5.888829e+000
7.585775750292074e-022	4.467134e-021	5.888829e+000
7.943282347243063e-022	4.677663e-021	5.888829e+000
8.317637711026970e-022	4.898114e-021	5.888829e+000
8.709635899561080e-022	5.128956e-021	5.888829e+000
9.120108393559385e-022	5.370676e-021	5.888829e+000
9.549925860214661e-022	5.623788e-021	5.888829e+000
1.000000000000032e-021	5.888829e-021	5.888829e+000
1.047128548050933e-021	6.166361e-021	5.888829e+000
1.096478196143220e-021	6.456973e-021	5.888829e+000
1.148153621496920e-021	6.761280e-021	5.888829e+000
1.202264434617451e-021	7.079929e-021	5.888829e+000
1.258925411794208e-021	7.413597e-021	5.888829e+000
1.318256738556450e-021	7.762988e-021	5.888829e+000
1.380384264602929e-021	8.128847e-021	5.888829e+000
1.445439770745974e-021	8.511948e-021	5.888829e+000
1.513561248436257e-021	8.913103e-021	5.888829e+000
1.584893192461165e-021	9.333164e-021	5.888829e+000
1.659586907437615e-021	9.773023e-021	5.888829e+000
1.737800828749432e-021	1.023361e-020	5.888829e+000
1.819700858610043e-021	1.071591e-020	5.888829e+000
1.905460717963310e-021	1.122093e-020	5.888829e+000
1.995262314968945e-021	1.174976e-020	5.888829e+000
2.089296130854108e-021	1.230351e-020	5.888829e+000
2.187761623949625e-021	1.288335e-020	5.888829e+000
2.290867652767849e-021	1.349053e-020	5.888829e+000
2.398832919019570e-021	1.412632e-020	5.888829e+000
2.511886431509663e-021	1.479207e-020	5.888829e+000
2.630267991895469e-021	1.548920e-020	5.888829e+000
2.754228703338258e-021	1.621918e-020	5.888829e+000
2.884031503126702e-021	1.698357e-020	5.888829e+000
3.019951720402117e-021	1.778398e-020	5.888829e+000
3.162277660168485e-021	1.862211e-020	5.888829e+000
3.311311214826022e-021	1.949975e-020	5.888829e+000
3.467368504525433e-021	2.041874e-020	5.888829e+000
3.630780547701136e-021	2.138105e-020	5.888829e+000
3.801893963205740e-021	2.238870e-020	5.888829e+000
3.981071705535107e-021	2.344385e-020	5.888829e+000
4.168693834703495e-021	2.454873e-020	5.888829e+000
4.365158322401807e-021	2.570567e-020	5.888829e+000
4.570881896148905e-021	2.691714e-020	5.888829e+000
4.786300923226546e-021	2.818571e-020	5.888829e+000
5.011872336272893e-021	2.951406e-020	5.888829e+000
5.248074602497905e-021	3.090501e-020	5.888829e+000
5.495408738576433e-021	3.236152e-020	5.888829e+000
5.754399373371767e-021	3.388667e-020	5.888829e+000
6.025595860743785e-021	3.548370e-020	5.888829e+000
6.309573444802150e-021	3.715600e-020	5.888829e+000
6.606934480076188e-021	3.890711e-020	5.888829e+000
6.918309709189604e-021	4.074074e-020	5.888829e+000
7.244359600750152e-021	4.266079e-020	5.888829e+000
7.585775750292101e-021	4.467134e-020	5.888829e+000
7.943282347243091e-021	4.677663e-020	5.888829e+000
8.317637711027000e-021	4.898114e-020	5.888829e+000
8.709635899561111e-021	5.128956e-020	5.888829e+000
9.120108393559417e-021	5.370676e-020	5.888829e+000
9.549925860214694e-021	5.623788e-020	5.888829e+000
1.000000000000035e-020	5.888829e-020	5.888829e+000
1.047128548050936e-020	6.166361e-020	5.888829e+000
1.096478196143224e-020	6.456973e-020	5.888829e+000
1.148153621496923e-020	6.761280e-020	5.888829e+000
1.202264434617455e-020	7.079929e-020	5.888829e+000
1.258925411794212e-020	7.413597e-020	5.888829e+000
1.318256738556454e-020	7.762989e-020	5.888829e+000
1.380384264602934e-020	8.128847e-020	5.888829e+000
1.445439770745979e-020	8.511948e-020	5.888829e+000
1.513561248436262e-020	8.913103e-020	5.888829e+000
1.584893192461170e-020	9.333165e-020	5.888829e+000
1.659586907437620e-020	9.773023e-020	5.888829e+000
1.737800828749438e-020	1.023361e-019	5.888829e+000
1.819700858610049e-020	1.071591e-019	5.888829e+000
1.905460717963316e-020	1.122093e-019	5.888829e+000
